,Headline,1
1299,Thank you to all the awesome people who supported the cast tonight! Game Of Thrones is amazing! Might have a suprise game tomorrow.,0.964307514785304
908,"Such a good day in Edinburgh! Sightseeing, harry potter cafe, shopping and museum visits :) Edinburgh uni open day tomorrow! Excited :)",0.9642086693907088
2141,Thanks again to all who helped make this a success. Congratulations to all our winners!!!! I wish everyone could win ,0.9642037539971692
886,"This DVD is amazing! Breathtaking! The concert itself is great. Awesome choreography, great special guests (Including John Williams, Angie Stone, and Lili Haydn), two bonus songs, and everything else that a Grobanite (or anyone else, for that matter) could wish for! Special features are awesome, and the fact that it's available in DTS.....WOW!!! The bonus CD that comes with it is great! They thought of everything! The only thing I could have wished for in the special features was the To Where You Are music video, but other than that, a true must have!!! :)",0.9641680887737127
918,dreamworks presnts two new shorts. gift of the night fury and book of dragons. i thought that these shorts were awesome. i loved the movie so of course i'll love the shorts. this is a great double pack. if you have not seen these two movies then i recommend you do,0.9641177638214468
698,If you love Cary Grant and old movies then this is for you. Mr Grant at his comedic best! Very entertaining and fun to watch!,0.9640574852967905
2546,"This book far passed all my expections. It is a lovely book, and I am so glad to add it to my library. It came in beautiful condition. On my bucket list are all the books in this series, and I hope all the rest of the books are as beautiful as this first one is. I have read all the books in this series so far, most of them 2 or 3 times and am looking forward to eventually having all of the series. Thank you for sending Outlander so carefully.Sincerely,Barbara Mogk Peck",0.9640268555658748
1550,"We absolutely love this cookbook. It is our first choice when we are looking for that special recipe for a special occasion - or just for everyday! Variety is excellent - breakfast, brunch, lunch, dinner, dessert - it's all there. Can't wait to get Volume 2",0.9639932763236563
2125,just ate waffles! yum  i am spending the night at nicole's house! fun fun fun!,0.9639549614504546
1556,"A great laugh, loved it! I enjoyed all the movies in this series and this was no exception -well worth watching!!",0.9639214151487102
2095,"This is a fun CD that has a more rocking style then their first CD. The band puts together great lyrics and harmonies with a style that you will find yourself singing along to. Plus, they are great in concert as well!",0.9638996840847783
1082,"@XAsiaZoX @DavidDelano I'm doin good!! I fell at Disneyland on Tuesday, but I'm alive! Haha. Went to a CSULB event tonight; so much fun!!",0.9638890084655213
2004,"Hello lovelies again! Super Sunday. Thai food, AC/DC raunchy dancing during warm up, you lot and the Boys. More season 1, I'm a lucky woman",0.9638813089981827
2281,"I ENJOYED THIS FILM. IT WAS ENTERTAINING FROM START TO FINISH. GREAT CAST,GREAT STORY,AND TRULY A CLASSIC.I HIGHLY RECOMMEND THIS FILM,A MUST SEE!!!",0.9638513384151796
2213,@BarryAldridge AWESOME! THANK YOU! I'm excited! ,0.9638148758932039
443,This is the best DVD I have ever purchased. If you are a huge Creek fan you will love it. I plan on purchasing ever season they come out with. It will make you laugh and cry. It's awsome!,0.9638076516253148
2075,Another enjoyable read with fun and charming characters and all manner of twists and turns. Highly recommend.,0.9637833713203087
880,I saw this movie many years ago and was happy to find it for sale on Amazon (even though a VHS format). Graham Greene is excellent in this story. The characters are well acted and I love the story line. Would highly recommend watching this movie.,0.9637415203830175
1648,I had the pleasure of seeing this at the Repo Road Tour. It is a great film that engages and captivates the audience as well as encourages audience participation. I would recommend this movie to anyone.,0.9636739324493465
920,I was very pleased with the Pfaltzgraff Winterberry Salad Plates. They look even better than I imagined in my china cabinet. Can't wait to use them and have all my friends/family see the beautiful display. I'm going to keep them out through February since the design is basically Winter and not just Christmas. Amazon's price was better than anywhere else I shopped and I got them quicker than originally expected.,0.9636681612223792
